name,dong,lon,lat,in,out
칠곡주공그린빌1단지건너,동천동,128.57752666666664,35.949756666666666,27524.0,5919.0
칠곡주공그린빌1단지앞,동천동,128.57734666666664,35.94944666666667,109980.0,3521.0
보병50사단앞,동천동,128.57390666666666,35.947523333333336,22615.0,4071.0
보병50사단건너,동천동,128.574655,35.94782833333333,34047.0,5202.0
칠곡그린빌2차앞,구암동,128.56647013333335,35.942633816666664,189176.0,12626.0
중소기업관앞,산격2동,128.61658166666666,35.90784,17130.0,1771.0
한국패션센터,산격2동,128.61220833333334,35.905425,34577.0,1989.0
산업용재관,산격2동,128.60553833333333,35.905235,44009.0,22077.0
도남동(종점),동천동,128.58877333333334,35.969155,1427.0,426.0
산격거평타운건너,산격2동,128.60273991666665,35.90481965,19093.0,28466.0
산격거평타운앞,산격2동,128.60291,35.905004999999996,25633.0,36636.0
태현초등학교앞,태전1동,128.54203166666667,35.92755833333333,74396.0,657.0
칠곡한신아파트건너,태전1동,128.54448,35.93295833333333,21039.0,3504.0
칠곡한신아파트앞2,태전1동,128.5443786,35.93272396666667,25499.0,3327.0
운암지공원1,구암동,128.56339,35.93151,4704.0,94.0
부영7단지앞,구암동,128.56605833333333,35.93415000000001,304.0,474.0
부영7단지건너,구암동,128.56623000000002,35.93427833333333,5420.0,67.0
그린빌4단지건너,구암동,128.56792333333334,35.93793166666667,9254.0,731.0
그린빌4단지앞,구암동,128.56755333333334,35.93766166666667,5077.0,2032.0
그린빌4단지,구암동,128.56533581666665,35.936603083333345,753.0,10240.0
운암초등학교앞,구암동,128.56467833333332,35.936236666666666,149751.0,1886.0
운암초등학교건너,구암동,128.56472893333333,35.93629028333334,153444.0,9072.0
학남초등학교앞,동천동,128.56656,35.94652,18208.0,2249.0
학남초등학교건너,동천동,128.56635999999997,35.946628333333344,1141.0,8889.0
학남고등학교앞,동천동,128.56946355,35.9467031,37539.0,5109.0
학남고등학교건너,동천동,128.56947499999998,35.94686333333333,17329.0,3139.0
국우동현대아파트앞,동천동,128.57987358333332,35.94782405,52454.0,9520.0
북구구민운동장앞,동천동,128.57386833333334,35.943824383333336,33197.0,24846.0
북구구민운동장건너,구암동,128.57396,35.94363833333333,96881.0,17364.0
칠곡그린빌5단지앞,동천동,128.57025666666667,35.943396666666665,56102.0,13058.0
칠곡그린빌5단지건너,구암동,128.57037,35.943221666666666,29298.0,4845.0
화성그랜드앞,구암동,128.56980666666666,35.940571666666656,2503.0,1133.0
화성그랜드건너,구암동,128.57035499999998,35.94086333333333,3641.0,3195.0
도남동,동천동,128.58400833333332,35.961478333333346,2505.0,7.0
칠곡서한맨션,관음동,128.54444166666664,35.93483000000001,14481.0,1364.0
